"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686579,0.168245681332529,-2.0844696749953,0.0371174658432827,0.163034808641681
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417863,0.101059218008061,2.03947517584613,0.0414026263001334,0.17603166487917
"ENSG00000000457",322.664843927049,0.0245269479387466,0.145145067649247,0.168982303952744,0.865810560623563,0.96169423840439
"ENSG00000000460",87.682625164828,-0.14714204922212,0.257007253994673,-0.572520996723188,0.56696906525794,0.815848587637736
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807022,0.234311633845519,1.96013274402681,0.04998027694213,0.200944465782497
"ENSG00000001036",2025.39179382894,-0.228243688351361,0.125005308318285,-1.82587196833445,0.0678695494953375,0.246790954887608
"ENSG00000001084",652.173308358757,-0.253030787429103,0.202576594239606,-1.24906230346543,0.21164228693917,0.495030491999032
"ENSG00000001167",411.684395281717,-0.533733396573759,0.228791461148916,-2.33283792101997,0.0196566535721832,0.105268747648768
"ENSG00000001460",201.336569053853,-0.123556348103777,0.161114727309944,-0.766884257986462,0.443150334000458,0.730583672002936
"ENSG00000001461",2918.77668675377,0.00210152395872486,0.288704344043009,0.0072791560019332,0.994192125099879,0.998014166808356
"ENSG00000001497",539.501702816792,-0.0573211492611334,0.109341581209837,-0.524239256711761,0.600112139778674,0.837621133648469
"ENSG00000001561",115.914401421895,0.286816638209835,0.715972980501578,0.400597014162329,0.688716844327049,0.887117297132829
"ENSG00000001617",604.297522477042,-0.192202806884421,0.198690550510315,-0.967347497859205,0.333370346699498,0.639074750802633
"ENSG00000001626",9.6724145714589,-0.286388065302529,0.586258600932595,-0.488501260104253,0.625194833386448,NA
"ENSG00000001629",1826.75812135437,-0.246091165637123,0.190393072929055,-1.29254264270855,0.196169288315468,0.474446482200218
"ENSG00000001630",979.608386428198,-0.17975324934218,0.121379855928636,-1.4809149999969,0.138629225359441,0.386406073067559
"ENSG00000001631",848.723819299268,-0.071255020985133,0.15365280323414,-0.463740455659326,0.642833708757744,0.862101878963609
"ENSG00000002016",203.735815126675,-0.411582595769079,0.22845503644208,-1.80159125480005,0.0716097381879208,0.255785255862279
